Dates,Stock,Last Price,Open Price,High Price,Low Price,Volume,Bid Price,Ask Price,Market Order Bid Size,Market Order Ask Size,Average Volume 30 Day,Moving Average 20 Day,Turnover / Traded Value,RSI 14 Day,Moving Average 20 Day,Moving Average 50 Day,Moving Average 200 Day,Volatility 30 Day,Implied Volatility Mid,Current Market Cap,VWAP Price
8/10/2019,ALT US Equity,1.93,1.91,1.98,1.87,232181,1.9,1.93,#N/A N/A,#N/A N/A,125996.6,2.0335,449068.7,39.5531,2.0335,2.1022,2.5741,38.56,#N/A N/A,29.6023,1.9342
9/10/2019,ALT US Equity,1.92,1.93,1.9604,1.91,40701,1.92,1.96,#N/A N/A,#N/A N/A,120598.9667,2.0195,78705.79,38.6867,2.0195,2.0928,2.5744,38.439,#N/A N/A,29.449,1.9338
10/10/2019,ALT US Equity,1.9,1.92,1.9575,1.9,53821,1.9,1.94,#N/A N/A,#N/A N/A,120012.6667,2.007,102939.3,36.9437,2.007,2.0828,2.5753,36.388,#N/A N/A,29.1422,1.9124
11/10/2019,ALT US Equity,1.9596,1.93,1.9799,1.9,46005,1.95,1.96,#N/A N/A,#N/A N/A,119113.1667,1.9925,89136.31,44.9092,1.9925,2.0744,2.5756,36.915,#N/A N/A,30.0563,1.9372
14/10/2019,ALT US Equity,1.97,1.95,1.97,1.9397,27255,1.94,1.97,#N/A N/A,#N/A N/A,117225.5333,1.98,53156.4,46.1867,1.98,2.068,2.5764,36.982,#N/A N/A,30.2159,1.9503
15/10/2019,ALT US Equity,2.05,1.96,2.05,1.95,95502,1.98,2.05,#N/A N/A,#N/A N/A,117923.8333,1.974,190919.5,54.8581,1.974,2.0644,2.5775,39.064,#N/A N/A,31.4429,1.9992
16/10/2019,ALT US Equity,2.03,2.06,2.0765,1.98,123752,2,2.03,#N/A N/A,#N/A N/A,119862.5667,1.9705,247820.1,52.5771,1.9705,2.0606,2.5773,38.753,#N/A N/A,31.1361,2.0026
17/10/2019,ALT US Equity,1.99,2.04,2.04,1.95,54315,1.99,2.02,#N/A N/A,#N/A N/A,116291.1333,1.968,108571.7,48.2555,1.968,2.0552,2.5743,38.766,#N/A N/A,30.5226,1.999
18/10/2019,ALT US Equity,2.02,2,2.03,1.96,36768,1.99,2.02,#N/A N/A,#N/A N/A,112420.7,1.9635,73665.11,51.4769,1.9635,2.0504,2.5717,35.415,#N/A N/A,30.9828,2.0037
21/10/2019,ALT US Equity,1.98,2.02,2.04,1.98,46119,1.98,2.02,#N/A N/A,#N/A N/A,108967.9333,1.958,93315.02,47.2529,1.958,2.0458,2.5685,34.172,#N/A N/A,30.3692,2.024
22/10/2019,ALT US Equity,2.01,2,2.04,1.95,48536,1.98,2.01,#N/A N/A,#N/A N/A,103308.3333,1.957,96023.22,50.5315,1.957,2.0426,2.5643,34.615,#N/A N/A,30.8294,1.9779
23/10/2019,ALT US Equity,2.02,2.01,2.04,1.96,49969,2.02,2.04,#N/A N/A,#N/A N/A,98359.5333,1.9575,100568.1,51.6112,1.9575,2.0406,2.5604,34.133,#N/A N/A,30.9828,2.0124
24/10/2019,ALT US Equity,2,2.02,2.04,1.99,20680,1.99,2,#N/A N/A,#N/A N/A,96782.3,1.9575,41518.54,49.2939,1.9575,2.04,2.5566,30.828,#N/A N/A,30.676,2.008
25/10/2019,ALT US Equity,1.98,2,2.0146,1.95,53080,1.99,2.01,#N/A N/A,#N/A N/A,95957.3667,1.959,105081.3,47.0203,1.959,2.0384,2.5525,30.749,#N/A N/A,30.3692,1.9797
