Dates,Stock,Last Price,Open Price,High Price,Low Price,Volume,Bid Price,Ask Price,Market Order Bid Size,Market Order Ask Size,Average Volume 30 Day,Moving Average 20 Day,Turnover / Traded Value,RSI 14 Day,Moving Average 20 Day,Moving Average 50 Day,Moving Average 200 Day,Volatility 30 Day,Implied Volatility Mid,Current Market Cap,VWAP Price
12/8/2016,CELH US Equity,0.733,0.733,0.733,0.673,38397,0.683,0.707,#N/A N/A,#N/A N/A,24244.3,0.7132,26532.8,51.8131,0.7132,0.7533,0.6941,47.298,#N/A N/A,84.48,0.691
15/8/2016,CELH US Equity,0.733,0.707,0.733,0.693,11763,0.707,0.733,#N/A N/A,#N/A N/A,24228.5,0.7148,8501.38,51.8131,0.7148,0.7511,0.6945,47.234,#N/A N/A,84.48,0.7228
16/8/2016,CELH US Equity,0.723,0.733,0.733,0.7,15954,0.703,0.723,#N/A N/A,#N/A N/A,22911.6,0.7167,11531.48,49.1288,0.7167,0.7491,0.6948,46.702,#N/A N/A,83.328,0.7228
17/8/2016,CELH US Equity,0.723,0.733,0.733,0.7,15954,0.7,0.717,#N/A N/A,#N/A N/A,20661.1,0.7167,11531.48,49.1288,0.7167,0.7491,0.6948,47.362,#N/A N/A,83.328,0.7228
18/8/2016,CELH US Equity,0.723,0.713,0.723,0.703,7800,0.7,0.723,#N/A N/A,#N/A N/A,18080.4,0.7178,5609,49.1288,0.7178,0.7477,0.6951,43.709,#N/A N/A,83.328,0.7191
19/8/2016,CELH US Equity,0.717,0.72,0.733,0.717,14811,0.7,0.727,#N/A N/A,#N/A N/A,17167.7,0.7187,10677.36,47.2367,0.7187,0.7458,0.6955,43.784,#N/A N/A,82.56,0.7213
22/8/2016,CELH US Equity,0.717,0.717,0.732,0.717,68535,0.717,0.733,#N/A N/A,#N/A N/A,15690.4,0.7195,49259.77,47.2504,0.7195,0.7441,0.6956,42.935,#N/A N/A,82.5648,0.7187
23/8/2016,CELH US Equity,0.72,0.733,0.737,0.72,40923,0.72,0.733,#N/A N/A,#N/A N/A,16641.8,0.7213,29807.89,48.3883,0.7213,0.7417,0.6958,42.232,#N/A N/A,82.944,0.7284
24/8/2016,CELH US Equity,0.717,0.717,0.75,0.683,49776,0.717,0.737,#N/A N/A,#N/A N/A,17547.5,0.7222,36303.85,47.2761,0.7222,0.7395,0.696,40.664,#N/A N/A,82.56,0.7294
25/8/2016,CELH US Equity,0.733,0.717,0.74,0.667,27096,0.733,0.743,#N/A N/A,#N/A N/A,17321.4,0.7238,19771.18,53.0829,0.7238,0.7372,0.6963,41.254,#N/A N/A,84.48,0.7297
