Dates,Stock,Last Price,Open Price,High Price,Low Price,Volume,Bid Price,Ask Price,Market Order Bid Size,Market Order Ask Size,Average Volume 30 Day,Moving Average 20 Day,Turnover / Traded Value,RSI 14 Day,Moving Average 20 Day,Moving Average 50 Day,Moving Average 200 Day,Volatility 30 Day,Implied Volatility Mid,Current Market Cap,VWAP Price
17/2/2022,UPST US Equity,139.63,157.2,157.3899,136.561,21890329,139.5,139.63,#N/A N/A,#N/A N/A,8852447.667,105.191,3220348000,60.6405,105.191,124.888,186.3981,137.867,#N/A N/A,11681.399,146.9789
18/2/2022,UPST US Equity,130.05,139.38,144.28,126.42,12845912,129.99,130.05,#N/A N/A,#N/A N/A,9021229.033,107.0575,1695675000,55.7873,107.0575,123.6016,186.5882,139.687,#N/A N/A,10931.4998,131.9933
21/2/2022,UPST US Equity,130.05,139.38,144.28,126.42,12845912,129.99,130.05,#N/A N/A,#N/A N/A,9021229.033,107.0575,1695675000,55.7873,107.0575,123.6016,186.5882,139.687,#N/A N/A,10931.4998,131.9933
22/2/2022,UPST US Equity,120.51,127.3,134.78,119.325,10515970,120.38,120.65,#N/A N/A,#N/A N/A,9176846.033,108.515,1313424000,51.3776,108.515,122.4198,186.7109,141.543,#N/A N/A,10129.6043,124.8735
23/2/2022,UPST US Equity,112.43,123.94,126.04,111.71,9434580,112.35,112.44,#N/A N/A,#N/A N/A,9222592.533,109.4265,1114967000,47.9225,109.4265,121.4534,186.832,142.047,#N/A N/A,9450.4308,118.1808
24/2/2022,UPST US Equity,131.55,104,132.49,101.8,13921342,131.55,131.64,#N/A N/A,#N/A N/A,9509459.2,111.2015,1657396000,55.5416,111.2015,121.0632,187.0425,149.681,#N/A N/A,11057.584,119.0502
25/2/2022,UPST US Equity,135.88,134,139.539,126.43,11202397,135.83,135.88,#N/A N/A,#N/A N/A,9706244.9,113.489,1498575000,57.0732,113.489,120.8818,187.2628,147.59,#N/A N/A,11421.5471,133.7516
28/2/2022,UPST US Equity,157.99,136.84,158.66,136.6,17160938,157.99,158,#N/A N/A,#N/A N/A,10123370.9,116.6385,2605585000,63.9104,116.6385,120.957,187.6325,153.696,#N/A N/A,13280.0281,151.7999
1/3/2022,UPST US Equity,145.4,160,161,144.13,12414166,145.36,145.61,#N/A N/A,#N/A N/A,10373726.83,118.458,1856576000,58.2236,118.458,121.0522,187.8427,156.199,#N/A N/A,12221.7614,149.555
2/3/2022,UPST US Equity,156.935,148.69,157.75,139.5,11287884,156.87,157,#N/A N/A,#N/A N/A,10551664.67,120.4382,1680908000,61.5954,120.4382,121.4073,188.0524,156.767,#N/A N/A,13191.3489,148.9917
3/3/2022,UPST US Equity,150.06,153.6,156.92,143.58,10955683,149.95,150.06,#N/A N/A,#N/A N/A,10783724.67,122.6517,1632065000,58.5616,122.6517,121.7785,188.2053,157.738,#N/A N/A,12613.463,148.9889
4/3/2022,UPST US Equity,128.27,151.4,151.67,126.001,17433378,128.25,128.27,#N/A N/A,#N/A N/A,11180034.77,124.1687,2319781000,50.1335,124.1687,121.3543,188.182,158.903,#N/A N/A,10781.8799,133.0733
7/3/2022,UPST US Equity,112.5,129.2,134.94,111.81,14597325,112.4,112.51,#N/A N/A,#N/A N/A,11364210.4,124.8622,1751577000,45.0772,124.8622,120.6987,188.0491,164.397,#N/A N/A,9456.3147,119.95
8/3/2022,UPST US Equity,112,113.51,121,107.03,15815249,111.92,112,#N/A N/A,#N/A N/A,11461340.1,125.6602,1811245000,44.9225,125.6602,119.9759,187.8399,164.269,#N/A N/A,9414.2867,114.6133
9/3/2022,UPST US Equity,117.14,120.79,123.431,113.83,13439423,117.01,117.28,#N/A N/A,#N/A N/A,11672378.03,126.5187,1585223000,46.9385,126.5187,119.1179,187.7267,164.638,#N/A N/A,9846.3352,117.9439
10/3/2022,UPST US Equity,112.7,115.39,119.3698,107,11410724,112.69,112.8,#N/A N/A,#N/A N/A,11721639.13,126.5392,1271809000,45.3929,126.5392,118.3925,187.6218,163.813,#N/A N/A,9473.126,111.4817
11/3/2022,UPST US Equity,100.08,114.47,114.6661,100,13305985,100.06,100.07,#N/A N/A,#N/A N/A,11852604.63,126.2432,1384439000,41.2364,126.2432,117.4361,187.3893,167.447,#N/A N/A,8412.3376,104.0703
14/3/2022,UPST US Equity,89.34,98,98.4699,85.8,16966278,89.28,89.33,#N/A N/A,#N/A N/A,12188364.33,125.7092,1546853000,38.0438,125.7092,116.1143,187.0018,165.408,#N/A N/A,7509.5747,91.2275
15/3/2022,UPST US Equity,97.48,90.57,98.8,85,17654291,97.47,97.48,#N/A N/A,#N/A N/A,12552040.83,125.3532,1643406000,41.7263,125.3532,115.0379,186.7481,166.074,#N/A N/A,8193.7916,93.0483
16/3/2022,UPST US Equity,106.95,101,108.45,97.78,18429549,106.84,106.95,#N/A N/A,#N/A N/A,12783126.03,125.2452,1920115000,45.7651,125.2452,114.2837,186.5604,165.81,#N/A N/A,8989.8032,104.1512
17/3/2022,UPST US Equity,116.57,105,118.3499,102.55,14887014,116.44,116.58,#N/A N/A,#N/A N/A,13028100.63,123.6732,1697193000,49.5874,123.6732,113.8835,186.3575,165.926,#N/A N/A,9798.4232,113.9409
